id,surface,kind,name,status,reference_status,evidence,notes
ES.OBJECT.Application,extendscript,object,Application,official,planned,B-PPROPANEL-001;D-SCRIPTING-GUIDE-001,Global application object represented by app in scripts.
ES.OBJECT.Project,extendscript,object,Project,official,planned,B-PPROPANEL-001;D-SCRIPTING-GUIDE-001,Represents active project context and project-level operations.
ES.OBJECT.Sequence,extendscript,object,Sequence,official,planned,D-SCRIPTING-GUIDE-001,Represents timeline/sequences.
ES.OBJECT.ProjectItem,extendscript,object,ProjectItem,official,planned,D-SCRIPTING-GUIDE-001,Represents project-panel items including media and sequences.
ES.OBJECT.Track,extendscript,object,Track,official,planned,D-SCRIPTING-GUIDE-001,Base track concept; split into video/audio/caption contexts.
ES.OBJECT.TrackItem,extendscript,object,TrackItem,official,planned,D-SCRIPTING-GUIDE-001,Timeline instance that references project item/media context.
ES.OBJECT.Marker,extendscript,object,Marker,official,planned,D-SCRIPTING-GUIDE-001,Marker object; scope must be documented.
ES.OBJECT.Component,extendscript,object,Component,official,planned,D-SCRIPTING-GUIDE-001,Effect/component abstraction.
ES.OBJECT.ComponentParam,extendscript,object,ComponentParam,official,planned,D-SCRIPTING-GUIDE-001,Typed component parameter abstraction.
ES.OBJECT.Time,extendscript,object,Time,official,planned,D-SCRIPTING-GUIDE-001,Time abstraction; not interchangeable with timecode string.
